title,release_date,budget,revenue,ganancia,anio,mes,dia,dia_semana,key
Toy Story,1995-10-30,30000000,373554033,343554033,1995,Octubre,30,Lunes,0
Jumanji,1995-12-15,65000000,262797249,197797249,1995,Diciembre,15,Viernes,1
Grumpier Old Men,1995-12-22,0,0,0,1995,Diciembre,22,Viernes,2
"[{'iso_639_1': 'en', 'name': 'English'}]",,16000000,0,-16000000,,,,,3
Father of the Bride Part II,1995-02-10,0,76578911,76578911,1995,Febrero,10,Viernes,4
Heat,1995-12-15,60000000,187436818,127436818,1995,Diciembre,15,Viernes,5
Sabrina,1995-12-15,58000000,0,-58000000,1995,Diciembre,15,Viernes,6
Tom and Huck,1995-12-22,0,0,0,1995,Diciembre,22,Viernes,7
Sudden Death,1995-12-22,35000000,64350171,29350171,1995,Diciembre,22,Viernes,8
GoldenEye,1995-11-16,58000000,352194034,294194034,1995,Noviembre,16,Jueves,9
The American President,1995-11-17,62000000,107879496,45879496,1995,Noviembre,17,Viernes,10
Dracula: Dead and Loving It,1995-12-22,0,0,0,1995,Diciembre,22,Viernes,11
Balto,1995-12-22,0,11348324,11348324,1995,Diciembre,22,Viernes,12
Nixon,1995-12-22,44000000,13681765,-30318235,1995,Diciembre,22,Viernes,13
Cutthroat Island,1995-12-22,98000000,10017322,-87982678,1995,Diciembre,22,Viernes,14
Casino,1995-11-22,52000000,116112375,64112375,1995,Noviembre,22,Miercoles,15
Sense and Sensibility,1995-12-13,16500000,135000000,118500000,1995,Diciembre,13,Miercoles,16
Four Rooms,1995-12-09,4000000,4300000,300000,1995,Diciembre,09,Sabado,17
Ace Ventura: When Nature Calls,1995-11-10,30000000,212385533,182385533,1995,Noviembre,10,Viernes,18
Money Train,1995-11-21,60000000,35431113,-24568887,1995,Noviembre,21,Martes,19
105.0,,30250000,0,-30250000,,,,,20
Copycat,1995-10-27,0,0,0,1995,Octubre,27,Viernes,21
Assassins,1995-10-06,50000000,30303072,-19696928,1995,Octubre,06,Viernes,22
Powder,1995-10-27,0,0,0,1995,Octubre,27,Viernes,23
Leaving Las Vegas,1995-10-27,3600000,49800000,46200000,1995,Octubre,27,Viernes,24
Othello,1995-12-15,0,0,0,1995,Diciembre,15,Viernes,25
Now and Then,1995-10-20,12000000,27400000,15400000,1995,Octubre,20,Viernes,26
Persuasion,1995-09-27,0,0,0,1995,Septiembre,27,Miercoles,27
{'name': 'Victoires Productions',,18000000,0,-18000000,,,,,28
Shanghai Triad,1995-04-30,0,0,0,1995,Abril,30,Domingo,29
Dangerous Minds,1995-08-11,0,180000000,180000000,1995,Agosto,11,Viernes,30
Twelve Monkeys,1995-12-29,29500000,168840000,139340000,1995,Diciembre,29,Viernes,31
Wings of Courage,1996-09-18,0,0,0,1996,Septiembre,18,Miercoles,32
Babe,1995-07-18,30000000,254134910,224134910,1995,Julio,18,Martes,33
Carrington,1995-11-08,0,0,0,1995,Noviembre,08,Miercoles,34
Dead Man Walking,1995-12-29,11000000,39363635,28363635,1995,Diciembre,29,Viernes,35
Across the Sea of Time,1995-10-20,0,0,0,1995,Octubre,20,Viernes,36
It Takes Two,1995-11-17,0,0,0,1995,Noviembre,17,Viernes,37
Clueless,1995-07-19,12000000,0,-12000000,1995,Julio,19,Miercoles,38
"Cry, the Beloved Country",1995-12-15,0,676525,676525,1995,Diciembre,15,Viernes,39
Richard III,1995-12-29,0,0,0,1995,Diciembre,29,Viernes,40
"[{'iso_639_1': 'en', 'name': 'English'}]",,10000000,0,-10000000,,,,,41
Restoration,1995-12-29,19000000,0,-19000000,1995,Diciembre,29,Viernes,42
Mortal Kombat,1995-08-18,18000000,122195920,104195920,1995,Agosto,18,Viernes,43
To Die For,1995-05-20,20000000,21284514,1284514,1995,Mayo,20,Sabado,44
How To Make An American Quilt,1995-10-06,10000000,23574130,13574130,1995,Octubre,06,Viernes,45
"[{'iso_639_1': 'en', 'name': 'English'}]",,33000000,0,-33000000,,,,,46
Pocahontas,1995-06-14,55000000,346079773,291079773,1995,Junio,14,Miercoles,47
When Night Is Falling,1995-05-05,0,0,0,1995,Mayo,05,Viernes,48
The Usual Suspects,1995-07-19,6000000,23341568,17341568,1995,Julio,19,Miercoles,49
Guardian Angel,1994-11-22,0,0,0,1994,Noviembre,22,Martes,50
Mighty Aphrodite,1995-09-13,15000000,6700000,-8300000,1995,Septiembre,13,Miercoles,51
Lamerica,1994-01-01,0,0,0,1994,Enero,01,Sabado,52
The Big Green,1995-09-29,0,0,0,1995,Septiembre,29,Viernes,53
Georgia,1995-05-19,0,0,0,1995,Mayo,19,Viernes,54
Kids of the Round Table,1997-07-08,0,0,0,1997,Julio,08,Martes,55
Home for the Holidays,1995-11-02,0,17519169,17519169,1995,Noviembre,02,Jueves,56
The Postman,1994-09-22,0,0,0,1994,Septiembre,22,Jueves,57
The Confessional,1995-09-29,0,0,0,1995,Septiembre,29,Viernes,58
The Indian in the Cupboard,1995-07-14,45000000,0,-45000000,1995,Julio,14,Viernes,59
Eye for an Eye,1996-01-12,20000000,0,-20000000,1996,Enero,12,Viernes,60
Mr. Holland's Opus,1995-12-29,0,106269971,106269971,1995,Diciembre,29,Viernes,61
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,0,0,0,1996,Enero,12,Viernes,62
Two If by Sea,1996-01-12,0,0,0,1996,Enero,12,Viernes,63
Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?,,15000000,0,-15000000,,,,,64
Lawnmower Man 2: Beyond Cyberspace,1996-01-12,0,2409225,2409225,1996,Enero,12,Viernes,65
Two Bits,1995-10-22,0,0,0,1995,Octubre,22,Domingo,66
French Twist,1995-02-08,0,0,0,1995,Febrero,08,Miercoles,67
