key,title,budget,revenue,profit,return,year,month,day,day_week,collection
26,Now and Then,12000000,27400000,15400000,2.283333333333333,1995,Octubre,20,Viernes,
29,Shanghai Triad,0,0,0,,1995,Abril,30,Domingo,
474,Judgment Night,0,12136938,12136938,,1993,Octubre,15,Viernes,
964,The Rich Man's Wife,0,8538318,8538318,,1996,Septiembre,13,Viernes,
1677,The Replacement Killers,30000000,19204929,-10795071,0.6401643,1998,Febrero,06,Viernes,
1697,Midaq Alley,0,0,0,,1995,Mayo,05,Viernes,
1806,Voyage to the Beginning of the World,0,0,0,,1997,Mayo,05,Lunes,
1950,The Parent Trap,0,0,0,,1998,Julio,28,Martes,
2040,House II: The Second Story,0,7800000,7800000,,1987,Mayo,14,Jueves,House Collection
2214,Tales from the Darkside: The Movie,3500000,16324573,12824573,4.664163714285714,1990,Mayo,03,Jueves,
2250,Godzilla,1000000,0,-1000000,0.0,1954,Noviembre,03,Miercoles,Godzilla (Showa) Collection
2453,Doug's 1st Movie,0,0,0,,1999,Marzo,26,Viernes,
2509,Trippin',0,9016377,9016377,,1999,Mayo,12,Miercoles,
2529,Superman IV: The Quest for Peace,17000000,19300000,2300000,1.1352941176470588,1987,Julio,23,Jueves,Superman Collection
2927,Dead Again,0,38016380,38016380,,1991,Agosto,23,Viernes,
65,Lawnmower Man 2: Beyond Cyberspace,0,2409225,2409225,,1996,Enero,12,Viernes,The Lawnmower Man Collection
191,Smoke,7000000,8349430,1349430,1.1927757142857143,1995,Junio,09,Viernes,Brooklyn Cigar Store Collection
418,Blown Away,0,30156002,30156002,,1994,Julio,01,Viernes,
541,Super Mario Bros.,48000000,20915465,-27084535,0.4357388541666667,1993,Mayo,28,Viernes,
558,Chasers,0,1596687,1596687,,1994,Abril,22,Viernes,
1010,Synthetic Pleasures,0,0,0,,1995,Septiembre,13,Miercoles,
1224,Arsenic and Old Lace,1120175,0,-1120175,0.0,1944,Septiembre,23,Sabado,
1258,Butch Cassidy and the Sundance Kid,6000000,102308889,96308889,17.0514815,1969,Septiembre,23,Martes,
1277,Amityville: Dollhouse,0,0,0,,1996,Octubre,02,Miercoles,The Amityville Horror Collection
1360,Hamlet,0,0,0,,1996,Diciembre,25,Miercoles,
1840,A Man for All Seasons,3900000,28350000,24450000,7.269230769230769,1966,Diciembre,12,Lunes,
2173,The Fiendish Plot of Dr. Fu Manchu,0,0,0,,1980,Agosto,08,Viernes,
2812,The Razor's Edge,0,0,0,,1984,Octubre,19,Viernes,
2895,"They Shoot Horses, Don't They?",0,0,0,,1969,Diciembre,10,Miercoles,
2906,The General,750000,0,-750000,0.0,1926,Diciembre,31,Viernes,
2941,The Ape,0,0,0,,1940,Septiembre,30,Lunes,
3009,The End of the Affair,0,0,0,,1955,Febrero,23,Miercoles,
3015,Daddy-Long-Legs,0,0,0,,1919,Mayo,11,Domingo,
3061,The Hurricane,50000000,73956241,23956241,1.47912482,1999,Septiembre,17,Viernes,
222,Dream Man,0,0,0,,1995,Enero,01,Domingo,
270,Man of the House,0,0,0,,1995,Marzo,03,Viernes,
293,Panther,0,6834525,6834525,,1995,Noviembre,10,Viernes,
730,The Arrival,25000000,14048372,-10951628,0.56193488,1996,Mayo,31,Viernes,The Arrival Collection
938,The 39 Steps,0,0,0,,1935,Junio,01,Sabado,
1127,Dear God,0,0,0,,1996,Noviembre,01,Viernes,
1145,"Sex, Lies, and Videotape",1200000,0,-1200000,0.0,1989,Agosto,18,Viernes,
1371,Inside,0,0,0,,1996,Agosto,25,Domingo,
1409,Donnie Brasco,35000000,41954997,6954997,1.1987142,1997,Febrero,27,Jueves,
1551,The Game,50000000,109423648,59423648,2.18847296,1997,Septiembre,12,Viernes,
1642,Full Speed,0,0,0,,1996,Septiembre,25,Miercoles,
2184,What Dreams May Come,85000000,71485043,-13514957,0.841000505882353,1998,Octubre,02,Viernes,
2517,Frogs for Snakes,0,0,0,,1998,Agosto,14,Viernes,
2570,The Red Dwarf,0,0,0,,1998,Mayo,16,Sabado,
2581,The Dinner Game,12500000,78599508,66099508,6.28796064,1998,Abril,15,Miercoles,
2909,Rough Night in Jericho,0,0,0,,1967,Enero,01,Domingo,
2989,Come See the Paradise,0,0,0,,1990,Agosto,17,Viernes,
2994,Places in the Heart,0,0,0,,1984,Septiembre,11,Martes,
243,Heavenly Creatures,5000000,3049135,-1950865,0.609827,1994,Septiembre,02,Viernes,
278,Nell,31000000,106683817,75683817,3.4414134516129034,1994,Diciembre,23,Viernes,
367,Reality Bites,11500000,20079850,8579850,1.7460739130434784,1994,Febrero,18,Viernes,
442,The Favor,0,0,0,,1994,Abril,29,Viernes,
705,Multiplicity,45000000,0,-45000000,0.0,1996,Julio,19,Viernes,
720,Barb Wire,0,3793614,3793614,,1996,Mayo,02,Jueves,
1175,The Killer,0,0,0,,1989,Julio,06,Jueves,
1202,The Graduate,3000000,104945305,101945305,34.981768333333335,1967,Diciembre,21,Jueves,
1463,Losing Chase,0,0,0,,1996,Agosto,18,Domingo,
1532,Money Talks,0,0,0,,1997,Agosto,22,Viernes,
1690,King of New York,1000000,2554476,1554476,2.554476,1990,Julio,18,Miercoles,
1919,Saving Private Ryan,70000000,481840909,411840909,6.8834415571428575,1998,Julio,24,Viernes,
1936,A Far Off Place,0,12890752,12890752,,1993,Marzo,12,Viernes,
2030,The Secret of NIMH,7000000,14665733,7665733,2.095104714285714,1982,Junio,17,Jueves,The Secret Of NIMH Collection
2371,Tinseltown,0,0,0,,1997,Enero,01,Miercoles,
2520,The Mummy,0,0,0,,1959,Septiembre,29,Martes,The Mummy (Hammer Series)
2598,Lake Placid,27000000,56870414,29870414,2.1063116296296296,1999,Julio,15,Jueves,
2797,The Mating Habits of the Earthbound Human,0,0,0,,1999,Septiembre,03,Viernes,
2944,Holiday Inn,0,0,0,,1942,Agosto,04,Martes,
3034,The Bat Whispers,0,0,0,,1930,Enero,01,Miercoles,
19,Money Train,60000000,35431113,-24568887,0.59051855,1995,Noviembre,21,Martes,
54,Georgia,0,0,0,,1995,Mayo,19,Viernes,
296,Quiz Show,0,0,0,,1994,Septiembre,16,Viernes,
926,It's a Wonderful Life,3180000,9644124,6464124,3.032743396226415,1946,Diciembre,20,Viernes,
965,Infinity,0,0,0,,1996,Octubre,04,Viernes,
1217,The Great Escape,4000000,11744471,7744471,2.93611775,1963,Junio,20,Jueves,
1280,The Amityville Horror,0,86432000,86432000,,1979,Julio,27,Viernes,The Amityville Horror Collection
1447,Romy and Michele's High School Reunion,0,29235353,29235353,,1997,Abril,25,Viernes,
1537,The Hunt for Red October,30000000,199200000,169200000,6.64,1990,Marzo,02,Viernes,The Jack Ryan Collection
1671,Spice World,25000000,100000000,75000000,4.0,1997,Diciembre,19,Viernes,
1782,The Ugly,0,0,0,,1997,Agosto,26,Martes,
1951,BASEketball,0,7027290,7027290,,1998,Julio,28,Martes,
2551,It Conquered the World,0,0,0,,1956,Julio,14,Sabado,
2857,Crimes and Misdemeanors,19000000,18254702,-745298,0.9607737894736842,1989,Octubre,13,Viernes,
3051,Easy Rider,360000,0,-360000,0.0,1969,Mayo,07,Miercoles,
3069,"Girl, Interrupted",40000000,0,-40000000,0.0,1999,Diciembre,21,Martes,
0,Toy Story,30000000,373554033,343554033,12.4518011,1995,Octubre,30,Lunes,Toy Story Collection
277,Nobody's Fool,0,0,0,,1994,Diciembre,23,Viernes,
287,Poison Ivy II: Lily,0,0,0,,1996,Enero,16,Martes,Poison Ivy Collection
348,The Crow,15000000,94000000,79000000,6.266666666666667,1994,Mayo,11,Miercoles,The Crow Collection
415,Beverly Hills Cop III,50000000,119208989,69208989,2.38417978,1994,Mayo,24,Martes,Beverly Hills Cop Collection
847,Shadow of Angels,0,0,0,,1976,Enero,31,Sabado,
1077,Microcosmos,0,0,0,,1996,Mayo,20,Lunes,
1336,Under Siege,35000000,156563139,121563139,4.473232542857143,1992,Octubre,08,Jueves,Under Siege Collection
1594,The Rainmaker,40000000,45916769,5916769,1.147919225,1997,Noviembre,18,Martes,
1958,Doctor Zhivago,11000000,111858363,100858363,10.168942090909091,1965,Diciembre,22,Miercoles,
2157,Indecent Proposal,38000000,266614059,228614059,7.0161594473684215,1993,Abril,07,Miercoles,
2486,eXistenZ,15000000,2856712,-12143288,0.19044746666666668,1999,Abril,14,Miercoles,
2648,The Thomas Crown Affair,48000000,124305181,76305181,2.5896912708333333,1999,Agosto,06,Viernes,
2940,Where's Marlowe?,0,0,0,,1998,Enero,01,Jueves,
502,A Perfect World,30000000,135130999,105130999,4.504366633333333,1993,Noviembre,24,Miercoles,
656,All Things Fair,0,0,0,,1995,Marzo,08,Miercoles,
1055,Madame Butterfly,0,0,0,,1995,Noviembre,22,Miercoles,
