key,companies,profit
0,Pixar Animation Studios,343554033
1,Interscope Communications,197797249
1,Teitler Film,197797249
1,TriStar Pictures,197797249
2,Lancaster Gate,0
2,Warner Bros.,0
3,"",-16000000
4,Touchstone Pictures,76578911
4,Sandollar Productions,76578911
5,Warner Bros.,127436818
5,Forward Pass,127436818
5,Regency Enterprises,127436818
6,Mont Blanc Entertainment GmbH,-58000000
6,Worldwide,-58000000
6,Constellation Entertainment,-58000000
6,Sandollar Productions,-58000000
6,Mirage Enterprises,-58000000
6,Scott Rudin Productions,-58000000
6,Paramount Pictures,-58000000
7,Walt Disney Pictures,0
8,Signature Entertainment,29350171
8,Imperial Entertainment,29350171
8,Universal Pictures,29350171
9,Eon Productions,294194034
9,United Artists,294194034
10,Castle Rock Entertainment,45879496
10,Columbia Pictures,45879496
11,Enigma Pictures,0
11,Castle Rock Entertainment,0
11,Columbia Pictures,0
12,Amblimation,11348324
12,Amblin Entertainment,11348324
12,Universal Pictures,11348324
13,Cinergi Pictures Entertainment,-30318235
13,Hollywood Pictures,-30318235
14,Carolco Pictures,-87982678
14,Mayer (MGM),-87982678
14,Goldwyn,-87982678
14,Metro,-87982678
14,Laurence Mark Productions,-87982678
14,Le Studio Canal+,-87982678
15,Cappa,64112375
15,De Fina,64112375
15,Syalis DA,64112375
15,Légende Entreprises,64112375
15,Universal Pictures,64112375
16,Mirage Enterprises,118500000
16,Columbia Pictures Corporation,118500000
17,A Band Apart,300000
17,Miramax Films,300000
18,Morgan Creek Productions,182385533
18,Warner Bros.,182385533
18,O Entertainment,182385533
19,Columbia Pictures,-24568887
20,"",-30250000
21,New Regency Pictures,0
21,Regency Enterprises,0
22,Evansgideon/Lazar,-19696928
22,Donner Productions,-19696928
22,Donner/Shuler,-19696928
22,Dino De Laurentiis Company,-19696928
22,Warner Bros.,-19696928
22,Canal+,-19696928
22,Silver Pictures,-19696928
23,Hollywood Pictures,0
23,Caravan Pictures,0
24,Intial Productions,46200000
24,United Artists,46200000
25,Castle Rock Entertainment,0
25,Columbia Pictures,0
26,New Line Cinema,15400000
27,BBC Films,0
28,"",-18000000
29,La Sept Cinéma,0
29,Alpha Films,0
29,Ministère des Affaires Étrangères,0
30,Don Simpson/Jerry Bruckheimer Films,180000000
30,Via Rosa Productions,180000000
30,Hollywood Pictures,180000000
31,Classico,139340000
31,Atlas Entertainment,139340000
31,Universal Pictures,139340000
32,Iwerks Entertainment,0
33,Kennedy Miller Productions,224134910
33,Universal Pictures,224134910
34,Orsans Productions,0
34,Polygram Filmed Entertainment,0
34,production Fund,0
34,European Co,0
34,Freeway Films,0
34,Euston Films,0
34,Cinéa,0
34,StudioCanal,0
35,Working Title Films,28363635
35,PolyGram Filmed Entertainment,28363635
35,Havoc,28363635
36,Sony New Technologies,0
37,Orr & Cruickshank,0
37,Rysher Entertainment,0
37,Warner Bros.,0
37,Dualstar Productions,0
38,Paramount Pictures,-12000000
39,Alpine Pty Limited,676525
39,Distant Horizon,676525
39,Miramax,676525
40,Mayfair Entertainment International,0
40,British Screen,0
41,"",-10000000
